"","B","G","N","U"
"B",0.930800542740841,0,0.0447761194029851,0.0244233378561737
"G",0.002710027100271,0.928184281842818,0.046070460704607,0.0230352303523035
"N",0.0123456790123457,0.0185185185185185,0.94238683127572,0.0267489711934156
"U",0.0074703760947965,0.00734157650695518,0.0100463678516229,0.975141679546625
"B",1,0,0.0600531047999518,0.0357061393172664
"G",0.00646586480434749,0.997692652017436,0.0615561762711917,0.0339852848409616
"N",0.0180489881185359,0.0255036170962859,0.992216043792785,0.0351440148888527
"U",0.00939292170384757,0.00924747638616985,0.0122758805797101,0.997107087710432
"B",0.86114707363845,0,0.0294991340060184,0.0131405363950809
"G",0,0.858675911668201,0.0305847451380224,0.0120851758636454
"N",0.00664236990615545,0.0115334199407511,0.892557618758656,0.0183539274979786
"U",0.00554783048574542,0.0054356766277405,0.00781685512353568,0.953176271382819
