"","B","G","N","U"
"B",0.987630827783064,0,0.00729464002537266,0.00507453219156359
"G",0,0.985412262156448,0.00909090909090909,0.00549682875264271
"N",0.00314733809879441,0.00421423236957217,0.987677371172517,0.00496105835911661
"U",0.000712589073634204,0.000760095011876485,0.00113064133016627,0.997396674584323
"B",1,0,0.00901582482218142,0.00651009954912569
"G",0,1,0.0110122581438247,0.00699085668396559
"N",0.0039504306070225,0.00514352632942206,1,0.00596933810439688
"U",0.000873860233196911,0.000926655149265797,0.00133378325237493,1
"B",0.967603505462924,0,0.0055734552285639,0.00363896483400149
"G",0,0.965408504046966,0.00716956003799344,0.00400280082131982
"N",0.00234424559056631,0.00328493840972229,0.973450761148391,0.00395277861383634
"U",0.000551317914071498,0.000593534874487172,0.000927499407957608,0.991363149993707
