,,All data,All ghg data,Sample data,Sample ghg data
1,Total obs,1458310,393576,446976,152473
2,Obs scope 1&2,54660,46642,44669,37440
3,Obs scope3,25332,21870,23505,20229
4,Total firms,14276,3351,6129,1911
5,Firms scope 1&2,648,543,627,522
6,Firms scope 3,382,333,368,320
