"","model_name","n_obs_below_0_3","n_obs_above_0_3","n_obs","pct_n_obs_below_0_3","pct_n_obs_above_0_3"
"1","Brown Bw",188.703703703704,984.333333333333,4446.77777777778,0.0425604041469413,0.221388766166572
"2","Brown Fw",140,820.869565217391,3684.73913043478,0.0375120449005722,0.224052623988688
"3","Green Bw",211.407407407407,389,4505.96296296296,0.0471068336201557,0.0864672257432478
"4","Green Fw",181.739130434783,343,3846.91304347826,0.0472161306269283,0.0894550029653513
"5","Neutral Bw",955.222222222222,1371,17308.037037037,0.0552337554027274,0.0792275204677524
"6","Neutral Fw",805.869565217391,1108.30434782609,14254.9565217391,0.0566383235597677,0.0777669039386686
