"","model_name","n_obs_below_0_3","n_obs_above_0_3","n_obs","pct_n_obs_below_0_3","pct_n_obs_above_0_3"
"1","Brown Bw",1817.51851851852,2206.88888888889,28364.3333333333,0.0630786875831888,0.0784256479080716
"2","Brown Fw",972.565217391304,1188.91304347826,15226.8695652174,0.0636171035987726,0.0776590715981617
"3","Green Bw",1146.25925925926,1948.59259259259,21923.8148148148,0.053116135882067,0.083969763004611
"4","Green Fw",761.04347826087,1066.5652173913,13768.1304347826,0.0554963340524924,0.0767333332128847
"5","Neutral Bw",5363.48148148148,7027.81481481481,92084.1111111111,0.0580519244160989,0.0775442665861276
"6","Neutral Fw",3141.26086956522,4306.82608695652,54319.6086956522,0.0580991788564201,0.0795312563223746
