"","year","B","G","N","U"
"1",2009,76,76,151,1079
"2",2010,86,86,172,1034
"3",2011,94,94,187,993
"4",2012,98,98,194,971
"5",2013,97,97,192,960
"6",2014,97,97,192,943
"7",2015,100,100,199,912
"8",2016,99,99,197,909
"9",2017,100,100,198,892
