"","year","B","G","N","U"
"1",2009,76,76,152,1090
"2",2010,87,87,172,1043
"3",2011,94,94,187,1002
"4",2012,97,97,194,980
"5",2013,97,97,192,968
"6",2014,97,97,192,951
"7",2015,100,100,198,926
"8",2016,99,99,197,922
"9",2017,100,100,198,904
