"","year","B","G","N","U"
"1",2009,181,181,362,658
"2",2010,186,186,371,635
"3",2011,185,185,368,630
"4",2012,183,183,364,631
"5",2013,180,180,358,628
"6",2014,180,180,357,611
"7",2015,244,244,486,338
"8",2016,296,298,589,120
"9",2017,307,308,611,65
