"","value","value.1","value.2","value.3","value.4","value.5","value.6","value.7","value.8","value.9","value.10","value.11"
"Mean",0.112517720602722,0.0908895141484205,0.105176011332586,0.0887887056383532,0.104122354057834,0.0982890530225265,0.124361607763699,0.0983714481592036,0.112188256426112,0.0865163860042385,0.115732474505184,0.0859021566192352
"Std.Dev",0.020537995182538,0.0140055885971775,0.0207012990264038,0.0141191811888397,0.018693611094304,0.0193180682979519,0.0159039883373719,0.0215773275106488,0.0190526835608971,0.0130517003360716,0.019586231384975,0.012534266616376
"Min",0.0847603370620982,0.0656241445647424,0.0778813160109462,0.0580143913323898,0.0632446356748103,0.0732832880653288,0.101551805388599,0.0676294249716172,0.0770760957051648,0.064833234685891,0.0822747724213492,0.0657515765976087
"Q1",0.0946554554989486,0.082852693048161,0.0891159204105348,0.0747083859172115,0.0905625769297935,0.0826160395487886,0.110742876316611,0.0769236322788486,0.0990670366573935,0.0764770663497751,0.101661935215268,0.0759587287752261
"Median",0.106879338848756,0.0922184520951759,0.098193711346983,0.0909346636808115,0.104820561635698,0.0982608356067564,0.12272523064778,0.0941988997751549,0.111244403882367,0.0825342027008308,0.11852537658003,0.0826982134647228
"Q3",0.126108219360588,0.0971775499543654,0.125095968348691,0.100793035290208,0.123184179587704,0.107139240538048,0.134906188184444,0.115772070269965,0.125346346065646,0.0935737262065695,0.124800832880575,0.096926134557259
"Max",0.151213720018796,0.129935428640404,0.158617918154928,0.110090405126121,0.133311741127268,0.144554186048517,0.159709735113425,0.135989136801042,0.153892327968123,0.119972979958557,0.153104608727789,0.11490750065793
"MAD",0.0197898950478312,0.0127437104966434,0.0152026154167484,0.0160552832848215,0.021138888124974,0.0174302872460145,0.0179359037513712,0.0256123115900238,0.0180541646477455,0.00910297622738883,0.0204074795334459,0.0138450005961931
"IQR",0.0292719546261054,0.0140867784322156,0.0262135074423743,0.0230123765362872,0.0293993594544172,0.0227757864863144,0.0237323104901382,0.0339455930696274,0.023180130798995,0.015405605440575,0.0203223194155183,0.0194784403264388
"CV",0.182531205507208,0.154094657985592,0.196825290901576,0.159020013720537,0.179535040899295,0.196543436973845,0.127885033197635,0.219345429130292,0.169827789180816,0.150858131492365,0.169237126128308,0.145913293794644
"Skewness",0.526597549355258,0.648292313952991,0.899216004150614,-0.289386232889036,-0.199489693696299,0.664598114838695,0.304262078359758,0.317510051597267,0.154445225770319,0.85794577235995,0.0963090538702884,0.438214889030602
"SE.Skewness",0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028,0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028,0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028
"Kurtosis",-0.874201155613516,0.791977289046823,-0.152800391749191,-0.950462571898171,-0.883242678277932,-0.274447172041445,-0.938959220955367,-1.32677975504614,-0.704528953181823,-0.0943125789030517,-0.859343715962041,-0.779392155084361
"N.Valid",27,27,23,23,27,27,23,23,27,27,23,23
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100
