"","value","value.1","value.2","value.3","value.4","value.5","value.6","value.7","value.8","value.9","value.10","value.11","value.12","value.13","value.14","value.15","value.16","value.17","value.18","value.19","value.20","value.21","value.22","value.23"
"Mean",-0.000657629656770901,0.117219034766328,0.100264504923867,0.782516460309805,0.00035138426282786,0.114813302266988,0.105524714728515,0.779661983004497,0.00127102275552811,0.117218752592569,0.107604087091317,0.775177160316115,0.00132298456247383,0.11099897063267,0.107431408773858,0.781569620593472,0.00159329951629673,0.0907133607705539,0.0870758108045073,0.822210828424939,0.000855668156981128,0.0899671705005385,0.085458270467526,0.824574559031936
"Std.Dev",0.00368822827191922,0.0321221617410738,0.0273063074605671,0.0420789801427572,0.00750957373957557,0.0299836076266788,0.0235673459679826,0.0397459022237311,0.0010756780119895,0.0249872885025286,0.0210611845506786,0.0366060186428575,0.0030930428218748,0.0210591514542461,0.0205175834761208,0.0366006629236096,0.000776400925732038,0.0156089836074604,0.0160079297321693,0.0278607762958115,0.00338842914990984,0.0120621735464452,0.0176342079345559,0.022778788938703
"Min",-0.0101100774751661,0.047506580610692,0.0638823172506541,0.720320641398301,-0.00663441957029162,0.05092609549318,0.0575417388426133,0.711110253176683,-0.000815378966986674,0.0561560315750527,0.0693556263766141,0.711672430960378,-0.0043601062660574,0.0832025385782491,0.0676695171612397,0.697750740319623,-0.000226043994185424,0.0640671349885623,0.06329364325268,0.746543910442491,-0.00914105222833091,0.0689138408500913,0.0476062152731876,0.790529569300582
"Q1",-0.00261163140268684,0.109663904896612,0.0778436006786181,0.762166834433031,-0.00184826668878238,0.0967003849706661,0.0925199356497814,0.759248283815173,0.000657105733161105,0.113200415292392,0.0928655741488223,0.750413630605994,0.000572608512166531,0.0935622044881649,0.0968083212437855,0.767101167347767,0.00131777624916121,0.0811520974821941,0.0777823491557524,0.808758216070461,0.000224046151870945,0.0833927695884308,0.072729476273705,0.80563779352446
"Median",-0.00143988141410493,0.127365959271296,0.0974254126847582,0.781791045935497,-0.00101249808139201,0.114294531459173,0.101570262623004,0.775900711014237,0.00133134796148366,0.120323948701958,0.107553744204463,0.771243735409629,0.00127058720294917,0.106820096167194,0.104219105445098,0.791040513890961,0.00164712551332671,0.0854202937349924,0.0871577466458181,0.822596630964919,0.000736630238292427,0.0878149067082975,0.0897554633779532,0.822080293948951
"Q3",0.00108731563295536,0.139175204701959,0.122111360068106,0.795027444107778,0.000461183401129713,0.136155012473286,0.121597948463872,0.792183694015046,0.00198412517835761,0.129705932340734,0.117626225483548,0.793316963781406,0.00194332524289422,0.123692953798374,0.125897919690908,0.80001670743003,0.00230260515091856,0.100386572940434,0.0935393786687301,0.845377025214904,0.00343087885923643,0.0975360557917597,0.0996923725298045,0.840583464681693
"Max",0.0075761283951912,0.175504392041885,0.155629490536375,0.882088739325311,0.0317991823292143,0.159646695658088,0.14786692844579,0.891532165664207,0.00291868583058694,0.170701343556074,0.156020195155897,0.84601229545212,0.0119920265420764,0.158515839616555,0.149969159248245,0.849127944260511,0.00273158695972435,0.127456553746341,0.130239270288476,0.863838546512873,0.0045620805847553,0.117023980309238,0.109148916454451,0.880118383764624
"MAD",0.00298583681301878,0.0219017253190325,0.0326547175087765,0.0224635132490877,0.00206657757504283,0.0324103491515239,0.0296612539815026,0.0246888885653326,0.000999631527711014,0.0139097289428487,0.0191700619564057,0.0327257683839958,0.0010092150212908,0.0202312199181082,0.0151824506187836,0.0308611772805172,0.000971814110693675,0.012527118133225,0.0138999643187714,0.0219863074558075,0.0035116624406004,0.0125743007865964,0.0157236849397203,0.0274328009283638
"IQR",0.0036989470356422,0.0295112998053464,0.0442677593894877,0.0328606096747477,0.00230945008991209,0.03945462750262,0.0290780128140905,0.0329354101998734,0.0013270194451965,0.0165055170483422,0.0247606513347253,0.0429033331754124,0.00137071673072768,0.0301307493102089,0.0290895984471224,0.0329155400822636,0.000984828901757347,0.0192344754582399,0.0157570295129777,0.0366188091444438,0.00320683270736548,0.014143286203329,0.0269628962560996,0.0349456711572333
"CV",-5.60836670601078,0.274035371517161,0.272342714715456,0.0537739233320379,21.3714002987506,0.261150990648754,0.223334846520218,0.0509783766428712,0.846309011629421,0.213168012368976,0.19572848132437,0.0472227776008386,2.3379281282702,0.189723844592554,0.190983099917363,0.0468296898436476,0.487291258040804,0.172069290288351,0.183838997125258,0.0338851974853977,3.95998042262612,0.134073056642067,0.206348757564159,0.0276248990333218
"Skewness",0.0121430744586118,-0.766708691397334,0.488148834516166,0.612868350882856,3.42898402966799,-0.37237704043871,-0.154418888316826,0.897061967924037,-0.311271539050302,-0.430905489360062,0.449350841164753,0.309261351285778,1.42805367024865,0.677234160092238,0.168975395482581,-0.388834100578825,-0.562475200629462,0.528314351069787,0.71855125969407,-0.785460579568242,-1.33553402400091,0.219254848651691,-0.547383671054858,0.478936528433595
