"","value","value.1","value.2","value.3","value.4","value.5","value.6","value.7","value.8","value.9","value.10","value.11"
"Mean",0.0996573581537179,0.0759700096365618,0.0943787469826431,0.0865889107131201,0.0833415050148414,0.0856954042249159,0.108520336255338,0.0958076790328358,0.0950495324302412,0.0789874363355498,0.107154580449738,0.0750459310585415
"Std.Dev",0.0187222344898988,0.0105550679377301,0.0195349039951934,0.0121476851740802,0.0151105842735971,0.0138255459140839,0.0212287947297035,0.0152221822753676,0.0172512132409453,0.0131786932324713,0.020808850388753,0.0133808718650243
"Min",0.0629571916031228,0.0561382162028694,0.0670562050347719,0.0658711318147536,0.0563705710562845,0.0559814787346389,0.0653832554043472,0.0651566051889436,0.0655797137303395,0.057397804240492,0.0693389209141416,0.0441453440187293
"Q1",0.0852441251285224,0.0680405667261703,0.0803501779471444,0.0758367918965726,0.0695699859173075,0.0749246244160594,0.0874595383753172,0.0833375658460369,0.0820312110382572,0.0679487370439885,0.0927118127391918,0.0662862352731266
"Median",0.101170030722035,0.074097934120115,0.0889627880546289,0.0849756874333916,0.0844487276674991,0.0865654416198348,0.111070263627542,0.0960058003436803,0.0931971946027988,0.0779513484123105,0.105825153426884,0.0754709715319866
"Q3",0.113198429957546,0.0826382784502631,0.104263262196497,0.0954115439631678,0.0928503305864533,0.0951680053238972,0.12486548240731,0.109245016894134,0.107384575908998,0.08787841908435,0.122318789948961,0.0848626669872827
"Max",0.143888435105893,0.0988699166837262,0.151876553920823,0.113789182983768,0.132157144618251,0.120944276710917,0.148286331895454,0.1230883219932,0.132638086321914,0.109759474862355,0.155172584804129,0.101585266129504
"MAD",0.0213179770692013,0.0107630791309666,0.0153179604475934,0.0153528858391767,0.0157314450826504,0.0153814191892121,0.0265040515118386,0.018781924466206,0.0169451303672833,0.0147178749783657,0.0222143136993551,0.0136172899773858
"IQR",0.0276672339471609,0.0141416131668773,0.0229928040175311,0.0195284607408179,0.0224884662110243,0.0192561549457744,0.0369354431342876,0.023726348330009,0.0244801961848412,0.0195616044552747,0.0278783197455227,0.0183305181357836
"CV",0.187866052610189,0.138937298918681,0.20698414229621,0.140291465431723,0.181309232067578,0.161333574876401,0.195620428965076,0.158882695302018,0.181497086833187,0.166845435728365,0.19419468865835,0.178302429942354
"Skewness",0.0461101256883381,0.34255962621338,0.980020054782039,0.177880363271191,0.503370442923296,-0.0405584866815,-0.0805590486074853,-0.0326163069371677,0.323332410523488,0.575640105322282,0.24267609582761,-0.0140337165969423
"SE.Skewness",0.270544799318691,0.270544799318691,0.29283625195483,0.29283625195483,0.270544799318691,0.270544799318691,0.29283625195483,0.29283625195483,0.270544799318691,0.270544799318691,0.29283625195483,0.29283625195483
"Kurtosis",-0.754436133440607,-0.792416539635307,0.311131589382186,-1.04528837371988,0.0208709124715982,-0.587217077178653,-1.08150978014426,-1.03453644476716,-0.922495785202279,-0.48550424759797,-0.773233603942027,-0.564014110664912
"N.Valid",79,79,67,67,79,79,67,67,79,79,67,67
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100
